ts,exported_at,live_board_side,live_widest_symbol,live_widest_bps,pack_board_side,pack_widest_symbol,pack_widest_bps,live_vs_pack,paper_gate_any,paper_leader_call,funding_leader,funding_leader_abs,funding_leader_call,oi_leader,oi_top_share_pct,symbol,abs_funding,last_funding,basis_bps,basis_label,fund_label,hourly_call,oi_notional
2026-08-03T05:25:49Z,2026-08-03T05:28:44Z,mixed,BNBUSDT,5.4593,mixed,XRPUSDT,-6.211104371640488,diverged,False,watch,BTCUSDT,0.0001,watch,BTCUSDT,55.27,BTCUSDT,0.0001,0.0001,-3.6966,near_flat,watch,watch,6863213081.1618
2026-08-03T05:25:49Z,2026-08-03T05:28:44Z,mixed,BNBUSDT,5.4593,mixed,XRPUSDT,-6.211104371640488,diverged,False,watch,BTCUSDT,0.0001,watch,BTCUSDT,55.27,XRPUSDT,9.467e-05,9.467e-05,-3.3887,near_flat,watch,watch,316412890.214
2026-08-03T05:25:49Z,2026-08-03T05:28:44Z,mixed,BNBUSDT,5.4593,mixed,XRPUSDT,-6.211104371640488,diverged,False,watch,BTCUSDT,0.0001,watch,BTCUSDT,55.27,BNBUSDT,6.961e-05,6.961e-05,5.4593,premium,watch,watch,342713320.454
2026-08-03T05:25:49Z,2026-08-03T05:28:44Z,mixed,BNBUSDT,5.4593,mixed,XRPUSDT,-6.211104371640488,diverged,False,watch,BTCUSDT,0.0001,watch,BTCUSDT,55.27,ETHUSDT,3.695e-05,3.695e-05,-4.8206,near_flat,quiet,quiet,4300148205.6914
2026-08-03T05:25:49Z,2026-08-03T05:28:44Z,mixed,BNBUSDT,5.4593,mixed,XRPUSDT,-6.211104371640488,diverged,False,watch,BTCUSDT,0.0001,watch,BTCUSDT,55.27,SOLUSDT,1.297e-05,-1.297e-05,-5.3564,discount,quiet,quiet,595118724.2922
